time_s,accel_x_g,accel_y_g,accel_z_g
0.4292,-0.3591,-9.9168,0.1820
0.4322,-0.3831,-9.9910,0.1006
0.4351,-0.4597,-9.9455,0.2562
0.4381,-0.4286,-9.9240,0.0886
0.4410,-0.3998,-9.9647,0.0814
0.4439,-0.4645,-9.9503,0.1125
0.4469,-0.3855,-9.9000,0.1748
0.4498,-0.4573,-9.8138,0.1844
0.4528,-0.3687,-10.0628,0.1580
0.4557,-0.4477,-9.9599,0.1006
0.4586,-0.4477,-9.9431,0.1939
0.4616,-0.5938,-9.9527,0.1772
0.4645,-0.4262,-9.9288,0.1173
0.4675,-0.4094,-9.9862,0.0982
0.4704,-0.4357,-9.9647,0.0790
0.4734,-0.3807,-9.9335,0.1269
0.4763,-0.3855,-9.9742,0.1269
0.4792,-0.4525,-9.9144,0.0982
0.4822,-0.4525,-9.9862,0.1963
0.4851,-0.4166,-9.9096,0.1221
0.4881,-0.4405,-9.9766,0.1556
0.4911,-0.3855,-9.9216,0.1389
0.4940,-0.3926,-10.0102,0.0910
0.4970,-0.3974,-9.9096,0.1077
0.4999,-0.4453,-9.9024,0.0838
0.5029,-0.3855,-9.9575,0.1006
0.5058,-0.4046,-9.9168,0.0790
0.5087,-0.3974,-9.9240,0.1030
0.5117,-0.3950,-9.9216,0.1341
0.5146,-0.4621,-9.9383,0.2059
0.5176,-0.4238,-9.9216,0.0862
0.5205,-0.3855,-9.9048,0.0431
0.5235,-0.3711,-9.9814,0.1269
0.5264,-0.4166,-9.9359,0.1724
0.5293,-0.4836,-9.9431,0.1700
0.5323,-0.4190,-9.9455,0.0838
0.5352,-0.3950,-9.9479,0.0551
0.5381,-0.4956,-9.9407,0.1030
0.5411,-0.4022,-9.9503,0.0982
0.5440,-0.4357,-9.9383,0.2035
0.5470,-0.4621,-9.9240,0.2586
0.5499,-0.4669,-9.9335,0.1173
0.5528,-0.4238,-9.9359,0.2993
0.5558,-0.4118,-9.9072,0.0527
0.5588,-0.3567,-9.8234,0.1149
0.5618,-0.3855,-9.9695,0.1197
0.5648,-0.3496,-9.8354,0.0886
0.5677,-0.3639,-9.9407,0.1844
0.5706,-0.3926,-9.9000,0.1149
0.5736,-0.4573,-9.8952,-0.0144
0.5766,-0.4214,-9.9383,0.0718
0.5796,-0.4429,-9.9623,0.1700
0.5825,-0.3735,-9.9335,0.1101
0.5855,-0.3903,-9.9168,0.0335
0.5884,-0.4286,-9.9240,0.1149
0.5914,-0.4453,-9.9383,0.1556
0.5944,-0.4166,-9.9742,0.0646
0.5974,-0.3783,-9.9503,0.1221
0.6004,-0.3807,-9.9264,0.2131
0.6033,-0.4669,-9.9359,0.1077
0.6063,-0.4022,-9.9024,0.0718
0.6092,-0.3807,-9.9359,0.1269
0.6121,-0.3136,-9.9168,0.2514
0.6151,-0.4238,-9.9024,0.1053
0.6180,-0.4190,-9.9288,0.1437
0.6210,-0.4166,-9.8761,0.1460
0.6239,-0.4429,-9.9479,0.1508
0.6269,-0.3950,-9.8617,0.3041
0.6298,-0.4429,-9.8904,0.2729
0.6328,-0.3208,-9.9359,0.2059
0.6357,-0.4645,-9.9264,0.0551
0.6387,-0.4094,-9.9431,0.0958
0.6416,-0.5890,-9.9311,0.1891
0.6446,-0.3831,-9.9982,0.1652
0.6475,-0.3496,-9.9335,0.1437
0.6504,-0.3783,-9.9551,0.0886
0.6534,-0.4262,-9.9264,0.1221
0.6563,-0.4094,-9.8857,0.1628
0.6593,-0.4118,-9.9527,0.0694
0.6622,-0.3783,-9.8976,0.1197
0.6651,-0.4142,-9.9096,0.1508
0.6681,-0.4501,-9.9311,0.1389
0.6710,-0.3376,-9.9503,0.1030
0.6740,-0.4429,-9.9216,0.0646
0.6769,-0.3735,-9.9192,0.0024
0.6798,-0.4310,-9.8186,0.1030
0.6828,-0.4094,-9.9096,0.1556
0.6857,-0.4166,-9.9240,0.0862
0.6887,-0.4238,-9.9024,0.2131
0.6916,-0.4238,-9.9168,0.1221
0.6946,-0.4357,-9.9240,0.1077
0.6976,-0.4070,-9.8833,0.0599
0.7005,-0.4214,-9.9527,0.1508
0.7035,-0.4166,-9.9886,0.1077
0.7064,-0.4381,-9.8952,0.0000
0.7094,-0.3974,-9.9862,0.0934
0.7123,-0.4405,-9.9311,0.1101
0.7152,-0.3903,-9.9240,0.1460
0.7182,-0.3855,-9.9335,0.1221
0.7211,-0.4453,-9.9455,0.0503
0.7241,-0.4190,-9.8258,0.1125
0.7270,-0.3831,-9.9168,0.1006
0.7299,-0.4597,-9.9575,0.0431
0.7329,-0.5866,-10.1035,0.2155
0.7358,-0.3208,-9.9455,0.0599
0.7388,-0.3998,-9.8881,0.1173
0.7417,-0.3711,-9.9264,0.1748
0.7446,-0.3208,-9.9838,0.1197
0.7476,-0.3903,-9.9910,0.0646
0.7505,-0.4190,-9.9288,0.1293
0.7535,-0.4286,-9.8904,0.0934
0.7564,-0.4214,-9.9503,0.0168
0.7593,-0.4046,-9.9503,0.1365
0.7623,-0.3974,-9.8809,0.1149
0.7652,-0.3950,-9.9383,0.2634
0.7681,-0.3855,-9.9096,0.1389
0.7711,-0.4166,-9.9647,0.0144
0.7740,-0.3831,-9.9479,0.0599
0.7770,-0.4357,-9.8952,0.0670
0.7801,-0.4549,-9.9240,0.1508
0.7830,-0.4549,-9.9000,0.0072
0.7859,-0.5794,-9.8785,0.0766
0.7889,-0.4118,-9.9407,0.1580
0.7918,-0.4501,-9.8904,0.1365
0.7948,-0.4262,-9.9455,0.0599
0.7977,-0.3879,-9.9359,0.1389
0.8007,-0.5578,-9.9527,0.1820
0.8037,-0.3903,-9.9264,0.0599
0.8066,-0.3974,-9.9072,0.1508
0.8096,-0.3974,-9.9431,0.2059
0.8125,-0.4190,-9.9120,0.0790
0.8155,-0.3855,-9.9551,0.0599
0.8184,-0.3879,-9.9671,0.1173
0.8213,-0.3759,-9.8785,0.1077
0.8243,-0.3950,-9.9048,0.0048
0.8272,-0.4453,-9.9742,0.1101
0.8302,-0.4190,-9.9288,0.0359
0.8331,-0.4142,-9.8952,0.2251
0.8360,-0.3735,-9.9264,0.0287
0.8390,-0.4262,-10.1035,0.0311
0.8419,-0.5794,-10.0030,0.1413
0.8449,-0.4381,-9.9551,0.1604
0.8478,-0.4070,-9.8090,0.1149
0.8507,-0.4190,-9.9455,0.1125
0.8537,-0.3926,-9.9407,0.1700
0.8566,-0.4286,-9.9359,0.1484
0.8596,-0.3998,-9.9120,0.0742
0.8625,-0.4501,-9.9862,0.0311
0.8654,-0.4357,-9.8761,0.1269
0.8684,-0.3807,-9.9311,0.2466
0.8713,-0.4022,-9.9192,0.0646
